Order ID,Date,Customer Name,Product Name,Category,Quantity Sold,Unit Price,Total Sales,Discount (%),Final Price,Payment Method,Location,Salesperson Name,year,Month,Day
ORD100000,2025-01-09,Lakshit Jani,Automotive 3D Modeling,Automotive,1,23609,208.8541278028572,5,198.41142141271433,UPI,Mumbai,Abram Walia,2025,January,Thursday
ORD100001,2024-05-25,Trisha Bobal,3D Equipment Rentals,Scanning,2,16269,287.8434330318678,15,244.66691807708762,Credit Card,Delhi,Nehmat Kadakia,2024,May,Saturday
ORD100002,2024-02-21,Tushar Jha,Forensic 3D Scanning,Aerospace,9,25945,2065.673392037196,15,1755.8223832316166,UPI,Pune,Suhana Dara,2024,February,Wednesday
ORD100003,2024-06-24,Aniruddh Soni,Shipping & Marine Scanning,Engineering,4,42451,1502.1502951178093,5,1427.0427803619186,Cash,Jaipur,Prerak Dixit,2024,June,Monday
ORD100004,2023-10-07,Ranbir Chaudhari,Automotive 3D Modeling,Automotive,7,14510,898.5265687210896,20,718.8212549768717,Credit Card,Kolkata,Heer Ganesan,2023,October,Saturday
ORD100005,2024-08-30,Prerak Bath,Aerospace & Defense 3D Scanning,Engineering,7,49056,3037.775282920866,5,2885.886518774823,UPI,Chennai,Rania Sastry,2024,August,Friday
ORD100006,2024-10-20,Alisha Rastogi,Automotive 3D Modeling,Scanning,5,38221,1690.5869835132796,5,1606.0576343376156,Cash,Lucknow,Yuvraj  Dugar,2024,October,Sunday
ORD100007,2023-11-14,Miraya Ratti,Digital Twin Solutions,Engineering,2,12264,216.9839487800619,15,184.43635646305262,UPI,Jaipur,Aarush Arora,2023,November,Tuesday
ORD100008,2024-11-22,Renee Zacharia,Aerospace & Defense 3D Scanning,Scanning,1,7789,68.90443481115061,0,68.90443481115061,Cash,Kolkata,Zara Joshi,2024,November,Friday
ORD100009,2023-06-23,Lakshay Zacharia,3D Laser Scanning Services,Heritage,10,33531,2966.2788594847743,15,2521.3370305620583,UPI,Delhi,Lakshit Bhatnagar,2023,June,Friday
ORD100010,2023-12-10,Vivaan Srinivasan,Heritage Site 3D Documentation,Forensics,1,16590,146.76140371254186,10,132.08526334128769,Net Banking,Chennai,Gatik Dutta,2023,December,Sunday
ORD100011,2023-11-04,Jivika Sha,Heritage Site 3D Documentation,Engineering,10,33439,2958.1401921300103,5,2810.2331825235096,Net Banking,Bangalore,Purab Soni,2023,November,Saturday
ORD100012,2025-03-18,Aarav Dhar,3D Equipment Rentals,Aerospace,1,31348,277.3162437360315,5,263.4504315492299,Cash,Hyderabad,Indrans Dutta,2025,March,Tuesday
ORD100013,2023-09-28,Vaibhav Choudhury,BIM Solutions,Software,10,19701,1742.8248430022827,20,1394.2598744018262,UPI,Hyderabad,Eshani Sarraf,2023,September,Thursday
ORD100014,2024-07-23,Aarav Shenoy,Heritage Site 3D Documentation,Engineering,8,23452,1659.7219722080924,15,1410.7636763768785,UPI,Jaipur,Anika Sandal,2024,July,Tuesday
ORD100015,2025-03-21,Hridaan Tiwari,Reverse Engineering Models,Engineering,2,37295,659.8513021650691,0,659.8513021650691,Cash,Chennai,Devansh Bhakta,2025,March,Friday
ORD100016,2024-06-17,Nirvi Bassi,Forensic 3D Scanning,Engineering,9,37774,3007.467593401929,5,2857.0942137318325,Cash,Delhi,Keya Gandhi,2024,June,Monday
ORD100017,2025-01-24,Dhanush Deshpande,Digital Twin Solutions,Aerospace,6,24094,1278.8677255153648,10,1150.9809529638283,Cash,Ahmedabad,Ehsaan Vala,2025,January,Friday
ORD100018,2023-12-25,Manjari Dugal,Heritage Site 3D Documentation,Aerospace,8,25702,1818.9567682795664,10,1637.0610914516099,Credit Card,Kolkata,Anahi Saxena,2023,December,Monday
ORD100019,2023-11-05,Hansh Dhillon,3D Point Cloud Data Processing,Forensics,6,46711,2479.338853098207,10,2231.4049677883863,Credit Card,Delhi,Tiya Bhardwaj,2023,November,Sunday
ORD100020,2023-05-28,Nirvi Kohli,Aerospace & Defense 3D Scanning,Heritage,8,10560,747.3419762287846,15,635.2406797944669,Credit Card,Hyderabad,Jivin Joshi,2023,May,Sunday
ORD100021,2023-09-25,Pihu Chand,Heritage Site 3D Documentation,Engineering,2,19045,336.958521242358,10,303.26266911812223,Cash,Lucknow,Himmat Saran,2023,September,Monday
